year,city,product_type,farmer_number,total_area,amount
2008,ADANA,ARMUT,,,0
2008,ADANA,AYVA,,,0
2008,ADANA,BADEM,,,0
2008,ADANA,BIBER,,,1
2008,ADANA,BIBERIYE,,,175
2008,ADANA,BUGDAY,,,80
2008,ADANA,CILEK,,,20
2008,ADANA,DEFNE,,,100
2008,ADANA,DOMATES,,,1433
2008,ADANA,DUT,,,0
2008,ADANA,ELMA,,,0
2008,ADANA,FASULYE,,,3
2008,ADANA,HIYAR,,,5
2008,ADANA,KAYISI,,,11
2008,ADANA,KEKIK,,,50
2008,ADANA,LIMON,,,1456
2008,ADANA,MANDARIN,,,696
2008,ADANA,NOHUT,,,1
2008,ADANA,PATLICAN,,,1
2008,ADANA,PIRASA,,,0
2008,ADANA,SUSAM,,,0
2008,ADANA,SEFTALI,,,2
2008,ADANA,UZUM,,,1
2008,ADANA,AHUDUDU,,,2
2008,ADANA,BOGURTLEN,,,6
2008,ADANA,NAR,,,121
2008,ADANA,PORTAKAL,,,1100
2008,ADANA,SOGAN,,,1
2008,ADANA,ZEYTIN,,,20
2015,KOCAELI,BADEM(FIDAN),,,0
2008,ADANA,BEZELYE,,,6
2008,ADANA,HAVUC,,,997
2008,ADANA,HAYIT,,,15
2008,ADANA,ISIRGAN OTU,,,1
2008,ADANA,KARPUZ,,,24
2008,ADANA,KAVUN,,,9
2008,ADANA,MERSIN,,,100
2008,ADANA,PATATES,,,1
2008,ADANA,BORULCE,,,1
2008,ADANA,BROKOLI,,,7
2010,HATAY,BADEM(FIDAN),,,0
2008,ADANA,MARUL,,,0
2008,ADANA,MISIR,,,1
2008,ADANA,NANE,,,0
2008,ADANA,NEKTARIN,,,2
2008,ADANA,PUREN,,,50
2008,ADANA,ROKA,,,0
2008,AFYONKARAHISAR,BAL KABAGI,,,3
2008,ADANA,GREYFURT,,,1257
2008,ADANA,ISPANAK,,,1
2008,ANKARA,BAL KABAGI,,,10
2008,AYDIN,BAL KABAGI,,,4
2008,ADANA,PAZI,,,0
2008,BALIKESIR,BAL KABAGI,,,0
2008,ADANA,TURP,,,0
2008,ADANA,BAMYA,,,1
2008,ADANA,KARAHAN,,,100
2008,ADANA,LAHANA,,,0
2008,BURSA,BAL KABAGI,,,18
2008,ADANA,SUMAK,,,60
2008,ADANA,TERE,,,0
2008,ADANA,BAKLA,,,3
2008,ADANA,SINAMEKI,,,20
2008,ADANA,LAHANA(KIRMIZI),,,0
2008,ADANA,KEKIK (KURU),,,2
2008,ADANA,GOMEC,,,1
2008,ADIYAMAN,ANTEPFISTIGI,,,82
2008,ADIYAMAN,BADEM,,,33
2008,ADIYAMAN,BUGDAY,,,888
2008,ADIYAMAN,DUT,,,40
2008,ADIYAMAN,FASULYE,,,6
2008,ADIYAMAN,KAYISI,,,0
2008,ADIYAMAN,KEKIK,,,4
2008,ADIYAMAN,MERCIMEK,,,1538
2008,ADIYAMAN,NOHUT,,,964
2008,ADIYAMAN,UZUM,,,20
2008,ADIYAMAN,ARPA,,,340
2008,ADIYAMAN,CEVIZ,,,15
2008,ADIYAMAN,NAR,,,7
2008,ADIYAMAN,PAMUK,,,1480
2008,ADIYAMAN,SOGAN,,,8
2008,ADIYAMAN,MISIR,,,1300
2008,AFYONKARAHISAR,ANASON,,,5
2008,AFYONKARAHISAR,ARMUT,,,44
2008,AFYONKARAHISAR,AYVA,,,35
2008,AFYONKARAHISAR,BADEM,,,11
2008,AFYONKARAHISAR,BIBER,,,5
2008,AFYONKARAHISAR,BUGDAY,,,28
2008,AFYONKARAHISAR,DUT,,,0
2008,AFYONKARAHISAR,ELMA,,,347
2008,AFYONKARAHISAR,ERIK,,,950
2008,AFYONKARAHISAR,FASULYE,,,3
2008,AFYONKARAHISAR,FESLEGEN,,,0
2008,AFYONKARAHISAR,HASHAS,,,102
2008,AFYONKARAHISAR,HIYAR,,,14
2008,AFYONKARAHISAR,KABAK,,,13
2008,AFYONKARAHISAR,KAYISI,,,1100
2008,AFYONKARAHISAR,KEKIK,,,3
2008,AFYONKARAHISAR,KIMYON,,,176
2008,AFYONKARAHISAR,KIRAZ,,,172
2008,AFYONKARAHISAR,MERCIMEK,,,4
2008,AFYONKARAHISAR,NOHUT,,,10
2008,AFYONKARAHISAR,PATLICAN,,,5
2008,AFYONKARAHISAR,PIRASA,,,7
2008,AFYONKARAHISAR,SUSAM,,,2
2008,AFYONKARAHISAR,SEFTALI,,,0
2008,AFYONKARAHISAR,UZUM,,,70
2008,AFYONKARAHISAR,VISNE,,,633
2008,AFYONKARAHISAR,ARPA,,,3
2008,AFYONKARAHISAR,CEVIZ,,,1
2008,AFYONKARAHISAR,GUL,,,106
